date,series,venue,result
06/12/1980,1980-1981 Benson & Hedges World Series Cup,Melbourne Cricket Ground,India won by 66 runs
18/12/1980,1980-1981 Benson & Hedges World Series Cup,Sydney Cricket Ground,Australia won by 9 wickets
08/01/1981,1980-1981 Benson & Hedges World Series Cup,Sydney Cricket Ground,Australia won by 9 wickets
11/01/1981,1980-1981 Benson & Hedges World Series Cup,Melbourne Cricket Ground,Australia won by 7 wickets
15/01/1981,1980-1981 Benson & Hedges World Series Cup,Sydney Cricket Ground,Australia won by 27 runs
13/06/1983,1983 Prudential World Cup,Trent Bridge,Australia won by 162 runs
20/06/1983,1983 Prudential World Cup,County Ground (Chelmsford),India won by 118 runs
28/09/1984,1984-1985 India v. Australia,Jawaharlal Nehru Stadium (Delhi),Australia won by 48 runs
01/10/1984,1984-1985 India v. Australia,University Stadium,No Result
03/10/1984,1984-1985 India v. Australia,Keenan Stadium,No Result
05/10/1984,1984-1985 India v. Australia,Narendra Modi Stadium,Australia won by 7 wickets
06/10/1984,1984-1985 India v. Australia,Nehru Stadium (Indore),Australia won by 6 wickets
03/03/1985,1984-1985 Benson & Hedges World Championship,Melbourne Cricket Ground,India won by 8 wickets
29/03/1985,1984-1985 Rothmans Four-Nations Cup,Sharjah Cricket Stadium,India won by 3 wickets
12/01/1986,1985-1986 Benson & Hedges World Series Cup,Brisbane Cricket Ground,Australia won by 4 wickets
16/01/1986,1985-1986 Benson & Hedges World Series Cup,Melbourne Cricket Ground,India won by 8 wickets
21/01/1986,1985-1986 Benson & Hedges World Series Cup,Sydney Cricket Ground,Australia won by 100 runs
26/01/1986,1985-1986 Benson & Hedges World Series Cup,Adelaide Oval,Australia won by 36 runs
31/01/1986,1985-1986 Benson & Hedges World Series Cup,Melbourne Cricket Ground,India won by 6 wickets
05/02/1986,1985-1986 Benson & Hedges World Series Cup,Sydney Cricket Ground,Australia won by 11 runs
09/02/1986,1985-1986 Benson & Hedges World Series Cup,Melbourne Cricket Ground,Australia won by 7 wickets
07/09/1986,1986-1987 India v. Australia,Sawai Mansingh Stadium,India won by 7 wickets
09/09/1986,1986-1987 India v. Australia,Sher-I-Kashmir Stadium,Australia won by 3 wickets
24/09/1986,1986-1987 India v. Australia,Lal Bahadur Shastri Stadium,No Result
